"Model","Model_class","Effective_N","Parameters","AIC","BIC","In_sample_RMSE","AIC_BIC_applicable"
"ARIMAX monthly mean","Likelihood/ARIMA",275,2,-1150.44,-1139.59,0.02954,"Yes"
"MIDAS nealmon (12 weekly lags)","Likelihood/MIDAS",273,4,-1254.89,-1236.85,0.02386,"Yes"
"MIDAS nbeta (12 weekly lags)","Likelihood/MIDAS",273,4,-1258,-1239.96,0.02372,"Yes"
"U-MIDAS (12 weekly lags)","Likelihood/OLS",273,13,-1255.28,-1204.74,0.02307,"Yes"
"CLM-SS (12 weekly lags)","Likelihood/state-space",273,15,-1257.35,-1203.21,NA,"Yes, but effective sample differs"
"LASSO-MIDAS","Penalised regression",NA,NA,NA,NA,NA,"No standard IC after L1 penalty"
"Kernel U-MIDAS","Penalised smoother",NA,NA,NA,NA,NA,"No standard IC after smoothing penalty"
"XGBoost","Machine learning",NA,NA,NA,NA,NA,"No likelihood AIC/BIC"
"LSTM","Machine learning",NA,NA,NA,NA,NA,"No likelihood AIC/BIC"
"PCA-ARIMAX","Diagnostic compression",NA,NA,NA,NA,NA,"Not central; diagnostic benchmark"
