"Model","N","RMSE","MAE","MASE","MAPE_pct","sMAPE_pct","Dir_Acc_pct","vs_ARIMAX_RMSE_pct","MAPE_warning"
"MIDAS nbeta",96,0.020568,0.015571,0.561,135.3,99.6,74,-31.1,"Use cautiously: actual log changes can be near zero"
"LASSO-MIDAS",96,0.021028,0.01603,0.578,129.7,100,76,-29.6,"Use cautiously: actual log changes can be near zero"
"MIDAS nealmon",96,0.021043,0.015659,0.564,134.1,94.4,80.2,-29.5,"Use cautiously: actual log changes can be near zero"
"U-MIDAS",96,0.022259,0.016772,0.604,141.4,99.9,75,-25.5,"Use cautiously: actual log changes can be near zero"
"Kernel U-MIDAS",96,0.022259,0.016772,0.604,141.4,99.9,75,-25.5,"Use cautiously: actual log changes can be near zero"
"CLM-SS (12 lags)",96,0.022579,0.016704,0.602,138.2,99.9,74,-24.4,"Use cautiously: actual log changes can be near zero"
"XGBoost",96,0.023649,0.01772,0.639,140.9,108.3,72.9,-20.8,"Use cautiously: actual log changes can be near zero"
"LSTM",96,0.025883,0.018397,0.663,164.6,102.3,76,-13.3,"Use cautiously: actual log changes can be near zero"
"PCA-ARIMAX",96,0.028591,0.020994,0.757,142.9,123.4,67.7,-4.3,"Use cautiously: actual log changes can be near zero"
"ARIMAX",96,0.029863,0.021978,0.792,129.7,131.5,64.6,0,"Use cautiously: actual log changes can be near zero"
"CLM-SS (4 lags)",96,0.031702,0.022082,0.796,131.5,132.4,63.5,6.2,"Use cautiously: actual log changes can be near zero"
