"lambda","Val_RMSE","Roughness"
0,0.01578,0.297604
1e-06,0.01578,0.297589
2.37137370566166e-06,0.01578,0.297567
5.62341325190349e-06,0.01578,0.297517
1.33352143216332e-05,0.01578,0.297397
3.16227766016838e-05,0.015781,0.297114
7.49894209332456e-05,0.015781,0.296445
0.000177827941003892,0.015783,0.294869
0.000421696503428582,0.015787,0.29119
0.001,0.015796,0.282792
0.00237137370566166,0.015817,0.264537
0.00562341325190349,0.015867,0.228858
0.0133352143216332,0.015976,0.172055
0.0316227766016838,0.016173,0.106753
0.0749894209332456,0.016448,0.055489
0.177827941003892,0.016761,0.025523
0.421696503428582,0.017102,0.010342
1,0.017434,0.003467
2.37137370566166,0.017652,0.000971
5.62341325190349,0.017694,0.000259
13.3352143216332,0.017604,7.2e-05
31.6227766016838,0.017478,1.9e-05
74.9894209332456,0.017385,4e-06
177.827941003892,0.017334,1e-06
421.696503428582,0.017309,0
1000,0.017298,0
