"Break_Date","Pre_N","Post_N","RSS","AIC"
2004-01-01,47,228,0.246085,-1139.77
2004-02-01,48,227,0.246152,-1139.69
2004-03-01,49,226,0.246194,-1139.65
2004-04-01,50,225,0.2462,-1139.64
2004-05-01,51,224,0.246089,-1139.76
2004-06-01,52,223,0.246297,-1139.53
2004-07-01,53,222,0.245937,-1139.93
2004-08-01,54,221,0.245728,-1140.17
2004-09-01,55,220,0.245718,-1140.18
2004-10-01,56,219,0.245731,-1140.16
2004-11-01,57,218,0.24592,-1139.95
2004-12-01,58,217,0.245313,-1140.63
2005-01-01,59,216,0.245495,-1140.43
2005-02-01,60,215,0.244808,-1141.2
2005-03-01,61,214,0.244942,-1141.05
2005-04-01,62,213,0.244935,-1141.05
2005-05-01,63,212,0.244682,-1141.34
2005-06-01,64,211,0.244946,-1141.04
2005-07-01,65,210,0.244752,-1141.26
2005-08-01,66,209,0.244645,-1141.38
2005-09-01,67,208,0.245131,-1140.84
2005-10-01,68,207,0.243125,-1143.1
2005-11-01,69,206,0.243457,-1142.72
2005-12-01,70,205,0.24493,-1141.06
2006-01-01,71,204,0.245026,-1140.95
2006-02-01,72,203,0.245247,-1140.71
2006-03-01,73,202,0.245524,-1140.4
2006-04-01,74,201,0.245562,-1140.35
2006-05-01,75,200,0.245554,-1140.36
2006-06-01,76,199,0.245537,-1140.38
2006-07-01,77,198,0.245577,-1140.34
2006-08-01,78,197,0.245315,-1140.63
2006-09-01,79,196,0.245108,-1140.86
2006-10-01,80,195,0.246555,-1139.24
2006-11-01,81,194,0.247357,-1138.35
2006-12-01,82,193,0.247374,-1138.33
2007-01-01,83,192,0.24705,-1138.69
2007-02-01,84,191,0.247193,-1138.53
2007-03-01,85,190,0.247193,-1138.53
2007-04-01,86,189,0.247061,-1138.68
2007-05-01,87,188,0.246997,-1138.75
2007-06-01,88,187,0.246813,-1138.96
2007-07-01,89,186,0.246823,-1138.94
2007-08-01,90,185,0.246845,-1138.92
2007-09-01,91,184,0.24703,-1138.71
2007-10-01,92,183,0.247032,-1138.71
2007-11-01,93,182,0.247036,-1138.71
2007-12-01,94,181,0.246594,-1139.2
2008-01-01,95,180,0.246582,-1139.21
2008-02-01,96,179,0.246514,-1139.29
2008-03-01,97,178,0.246508,-1139.3
2008-04-01,98,177,0.246444,-1139.37
2008-05-01,99,176,0.246448,-1139.36
2008-06-01,100,175,0.246375,-1139.44
2008-07-01,101,174,0.245905,-1139.97
2008-08-01,102,173,0.245291,-1140.66
2008-09-01,103,172,0.245828,-1140.05
2008-10-01,104,171,0.245981,-1139.88
