"Regime","Model","RMSE","MAE","Dir_Acc_pct","N","vs_ARIMAX_pct"
"2015-2019 pre-COVID","MIDAS nealmon",0.017826,0.013634,80,60,-28.5
"2015-2019 pre-COVID","MIDAS nbeta",0.017843,0.013936,70,60,-28.4
"2015-2019 pre-COVID","LASSO-MIDAS",0.018453,0.014379,73.3,60,-26
"2015-2019 pre-COVID","U-MIDAS",0.019043,0.014766,73.3,60,-23.6
"2015-2019 pre-COVID","CLM-SS (12 lags)",0.019632,0.014874,73.3,60,-21.2
"2015-2019 pre-COVID","XGBoost",0.021187,0.016747,73.3,60,-15
"2015-2019 pre-COVID","PCA-ARIMAX",0.022966,0.017871,66.7,60,-7.9
"2015-2019 pre-COVID","ARIMAX",0.024924,0.019075,63.3,60,0
"2020 COVID","XGBoost",0.014157,0.009943,91.7,12,-62.2
"2020 COVID","MIDAS nbeta",0.020956,0.015009,83.3,12,-44
"2020 COVID","LASSO-MIDAS",0.0227,0.017087,83.3,12,-39.4
"2020 COVID","MIDAS nealmon",0.024671,0.017358,91.7,12,-34.1
"2020 COVID","CLM-SS (12 lags)",0.026915,0.019703,66.7,12,-28.1
"2020 COVID","U-MIDAS",0.029521,0.021664,75,12,-21.2
"2020 COVID","PCA-ARIMAX",0.031941,0.019843,83.3,12,-14.7
"2020 COVID","ARIMAX",0.037452,0.02484,58.3,12,0
"2021-2022 recovery/spike","U-MIDAS",0.025287,0.01934,79.2,24,-30.2
"2021-2022 recovery/spike","LASSO-MIDAS",0.025688,0.019629,79.2,24,-29.1
"2021-2022 recovery/spike","MIDAS nealmon",0.025932,0.019872,75,24,-28.4
"2021-2022 recovery/spike","MIDAS nbeta",0.026013,0.019939,79.2,24,-28.2
"2021-2022 recovery/spike","CLM-SS (12 lags)",0.026711,0.019778,79.2,24,-26.3
"2021-2022 recovery/spike","XGBoost",0.031853,0.02404,62.5,24,-12.1
"2021-2022 recovery/spike","ARIMAX",0.036233,0.027802,70.8,24,0
"2021-2022 recovery/spike","PCA-ARIMAX",0.037961,0.029378,62.5,24,4.8
