"Date","Actual","ARIMAX","MIDAS nealmon","MIDAS nbeta","U-MIDAS","LASSO-MIDAS","XGBoost","LSTM","CLM-SS (12 lags)"
"2015-01",-0.089003,-0.015031,-0.070555,-0.057064,-0.073795,-0.060641,-0.068384,-0.017465,-0.072651
"2015-02",0.015362,-0.027378,-0.01652,-0.011639,-0.007523,-0.010356,-0.009315,-0.02764,-0.018623
"2015-03",0.013386,0.021325,0.017479,0.009766,0.015878,0.014467,0.016865,-0.017263,0.015886
"2015-04",-0.010652,3.8e-05,0.012766,0.0163,0.007309,0.006409,-0.004078,0.017513,0.013179
"2015-05",0.026161,-0.010415,0.033125,0.03452,0.033539,0.026508,0.022532,0.001752,0.025371
"2015-06",0.014452,0.022852,0.008157,0.00888,0.008989,0.008383,0.01607,0.0199,0.012106
"2015-07",-0.001851,-0.005879,-0.013475,-0.01382,-0.021911,-0.017346,-0.000729,-0.014234,-0.022534
"2015-08",-0.014489,-0.011955,-0.053735,-0.054746,-0.060004,-0.049139,-0.056356,-0.043819,-0.056137
"2015-09",-0.055866,0.003076,-0.012411,-0.01117,-0.000426,-0.002835,0.004314,-0.007962,0.006465
"2015-10",-0.008298,-0.017698,0.029258,0.029621,0.035276,0.027185,-0.000608,-0.016698,0.023125
"2015-11",-0.00257,-0.000434,-0.00669,-0.00813,-0.003937,0.000568,0.005814,0.008751,-0.003769
"2015-12",-0.025808,-0.007411,-0.030391,-0.032177,-0.026642,-0.020235,-0.018929,-0.023703,-0.024364
"2016-01",-0.026151,-0.009554,-0.041929,-0.042318,-0.042844,-0.03377,-0.02188,-0.040593,-0.045582
"2016-02",-0.048865,-0.004614,-0.036455,-0.038132,-0.024113,-0.022742,-0.037418,-0.03465,-0.021807
"2016-03",0.032532,-0.015498,0.023029,0.021897,0.014531,0.008847,-0.012437,0.009893,0.005469
"2016-04",0.024281,0.025364,0.064936,0.062297,0.050612,0.041355,0.036158,0.020964,0.049268
"2016-05",0.010034,0.006574,0.044706,0.043806,0.045917,0.038736,0.011299,0.018699,0.046762
