"Feature","Gain","Cover","Frequency"
"wti_m1_w3",0.224836823872019,0.156619502868069,0.111459968602826
"wti_m0_w1",0.138479611808094,0.128887189292543,0.113029827315542
"wti_m1_w2",0.121220458051391,0.0986615678776291,0.0894819466248038
"wti_m0_w3",0.0951618188468085,0.0543479923518164,0.0926216640502355
"cpi_lag1",0.0951084652373625,0.109843212237094,0.0910518053375196
"wti_m1_w1",0.0906466422510471,0.096565965583174,0.0989010989010989
"wti_m1_w4",0.0640670346061879,0.114156787762906,0.0894819466248038
"wti_m2_w4",0.0528391732557879,0.0596405353728489,0.0769230769230769
"wti_m0_w2",0.0352366702950301,0.0478470363288719,0.0518053375196232
"cpi_lag2",0.0326313312477116,0.0655602294455067,0.0659340659340659
"wti_m2_w2",0.0172862143430603,0.0163059273422562,0.032967032967033
"wti_m2_w1",0.0131132077384897,0.0124971319311663,0.0266875981161695
"wti_m0_w4",0.0117374278134912,0.0300420650095602,0.0376766091051805
"wti_m2_w3",0.00763512063351978,0.00902485659655832,0.021978021978022
