"Year","Model","RMSE","MAE","N"
2015,"ARIMAX",0.032676,0.022979,12
2015,"MIDAS nealmon",0.024191,0.019307,12
2015,"MIDAS nbeta",0.025594,0.020851,12
2015,"U-MIDAS",0.026797,0.019848,12
2015,"CLM-SS (4 lags)",0.034396,0.024499,12
2015,"CLM-SS (12 lags)",0.027449,0.019878,12
2015,"XGBoost",0.023554,0.01556,12
2015,"LASSO-MIDAS",0.024745,0.018834,12
2016,"ARIMAX",0.022956,0.017121,12
2016,"MIDAS nealmon",0.017937,0.013673,12
2016,"MIDAS nbeta",0.017241,0.012877,12
2016,"U-MIDAS",0.018176,0.015219,12
2016,"CLM-SS (4 lags)",0.019908,0.014913,12
2016,"CLM-SS (12 lags)",0.019705,0.01675,12
2016,"XGBoost",0.016912,0.012139,12
2016,"LASSO-MIDAS",0.016067,0.013781,12
2017,"ARIMAX",0.023878,0.02086,12
2017,"MIDAS nealmon",0.020688,0.015119,12
2017,"MIDAS nbeta",0.02223,0.016231,12
2017,"U-MIDAS",0.021439,0.01678,12
2017,"CLM-SS (4 lags)",0.021964,0.019116,12
2017,"CLM-SS (12 lags)",0.022532,0.018577,12
2017,"XGBoost",0.025,0.017753,12
2017,"LASSO-MIDAS",0.021528,0.016924,12
2018,"ARIMAX",0.015917,0.013317,12
2018,"MIDAS nealmon",0.013461,0.009957,12
2018,"MIDAS nbeta",0.012049,0.009018,12
2018,"U-MIDAS",0.012802,0.009416,12
2018,"CLM-SS (4 lags)",0.015425,0.01213,12
2018,"CLM-SS (12 lags)",0.013971,0.010302,12
2018,"XGBoost",0.016729,0.01306,12
2018,"LASSO-MIDAS",0.011189,0.009125,12
2019,"ARIMAX",0.022131,0.017628,12
2019,"MIDAS nealmon",0.015727,0.011935,12
2019,"MIDAS nbeta",0.01704,0.0135,12
2019,"U-MIDAS",0.015342,0.013037,12
2019,"CLM-SS (4 lags)",0.022707,0.0188,12
2019,"CLM-SS (12 lags)",0.014576,0.011986,12
2019,"XGBoost",0.016953,0.0134,12
2019,"LASSO-MIDAS",0.015426,0.013268,12
2020,"ARIMAX",0.028856,0.020534,12
2020,"MIDAS nealmon",0.075909,0.042304,12
2020,"MIDAS nbeta",0.05624,0.032541,12
2020,"U-MIDAS",0.050665,0.027289,12
2020,"CLM-SS (4 lags)",0.05917,0.037781,12
2020,"CLM-SS (12 lags)",0.050907,0.029596,12
2020,"XGBoost",0.014556,0.010875,12
2020,"LASSO-MIDAS",0.03072,0.020194,12
2021,"ARIMAX",0.022561,0.019029,12
2021,"MIDAS nealmon",0.016416,0.014089,12
2021,"MIDAS nbeta",0.016023,0.013199,12
2021,"U-MIDAS",0.017854,0.013664,12
2021,"CLM-SS (4 lags)",0.019289,0.016355,12
2021,"CLM-SS (12 lags)",0.016403,0.011895,12
2021,"XGBoost",0.017551,0.01353,12
2021,"LASSO-MIDAS",0.01846,0.015622,12
2022,"ARIMAX",0.042864,0.03321,12
2022,"MIDAS nealmon",0.038821,0.033087,12
2022,"MIDAS nbeta",0.038557,0.032831,12
2022,"U-MIDAS",0.032985,0.027721,12
2022,"CLM-SS (4 lags)",0.037878,0.030527,12
2022,"CLM-SS (12 lags)",0.033634,0.028983,12
2022,"XGBoost",0.034864,0.028394,12
2022,"LASSO-MIDAS",0.033493,0.027768,12
